Name,Casno,Formula,hit_prob,match_factor,reverse_match_factor,rt1,rt2,Area,Height
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.4,746,919,41.72714617188216,0.21084337349397592,77324895.1448207,8992656.670472357
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,57.86,745,923,41.37281583210263,1.0642570281124497,75141605.57792228,8713751.825556364
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.04,766,929,42.2690631621332,0.010040160642570281,79431774.81220676,8770025.260572832
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.33,751,926,41.747989133045664,0.6626506024096386,76839120.5572092,8916076.409731304
"Heptane, 4-ethyl-2,2,6,6-tetramethyl-",62108-31-0,C13H28,18.99,881,902,18.445558552250855,1.1646586345381527,191267241.60688743,8681632.604512414
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.58,755,929,42.519178696095224,0.31626506024096385,82418726.47604583,8647626.503135785
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.27,748,924,42.62339350191273,0.8684738955823293,21206068.08378511,8793660.15959642
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.83,766,929,42.2899061232967,0.46184738955823296,94279082.35657306,8730905.927474275
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.91,753,930,42.47749277376822,1.1194779116465863,82817568.3997663,8648642.492913675
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,64.67,762,928,42.039790589334686,0.1606425702811245,74627282.44141705,8723190.26820875
Isopropyl Alcohol,67-63-0,C3H8O,82.85,859,952,4.876790834811301,0.6877510040160643,3953208952.9567943,50044911.311367854
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,58.54,743,917,41.66461728839165,0.5622489959839357,79821670.81838238,9151792.115545344
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.08,764,928,42.2273772398062,0.8132530120481928,73545357.8113144,8755947.270812163
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.31,751,927,42.37327796795071,0.5672690763052208,20724917.805826362,8610775.954608692
